Entity,Code,Year,Geo Biomass Other - TWh,Solar Generation - TWh,Wind Generation - TWh,Hydro Generation - TWh
Africa,,1971,0.164,0,0,26.01339
Africa,,1972,0.165,0,0,29.633196
Africa,,1973,0.17,0,0,31.345707
Africa,,1974,0.175,0,0,35.667076
Africa,,1975,0.172,0,0,37.717968
Africa,,1976,0.185,0,0,41.797634
Africa,,1977,0.189,0,0,45.92877
Africa,,1978,0.195,0,0,46.306942
Africa,,1979,0.201,0,0,49.56523
Africa,,1980,0.207,0,0,48.311787
Africa,,1981,0.218,0,0,50.192905
Africa,,1982,0.236,0,0,50.206238
Africa,,1983,0.23,0,0,45.24716
Africa,,1984,0.234,0,0,44.489975
Africa,,1985,0.269,0,0,49.449684
Africa,,1986,0.659,0,0,51.14537
Africa,,1987,0.658,0,0,49.05646
Africa,,1988,0.626,0,0,53.593452
Africa,,1989,0.617,0,0,56.27621
Africa,,1990,0.796,0,0,57.254658
Africa,,1991,0.812,0,0,60.65149
Africa,,1992,0.84225,0,0,57.86029
Africa,,1993,0.9377,0,0.002,56.682507
Africa,,1994,0.835,0,0.0054,57.59605
Africa,,1995,1.0187,0,0.0063,59.76888
Africa,,1996,1.258093,0,0.0071,62.31646
Africa,,1997,1.3866404,0,0.0072,63.852497
Africa,,1998,1.7125492,0,0.0076,66.654884
Africa,,1999,1.6961248,0,0.0198,70.68426
Africa,,2000,2.2690632,0.011941,0.1755,75.25581
Africa,,2001,2.3353527,0.01496,0.41558,80.86911
Africa,,2002,2.2864,0.016799714,0.44358402,85.02647
Africa,,2003,2.6224,0.020059295,0.535599,82.57461
Africa,,2004,2.9788496,0.02456688,0.7682805,87.21947
Africa,,2005,3.0096693,0.029383464,0.7803821,88.83774
Africa,,2006,3.7704048,0.03791205,0.8525656,92.049355
Africa,,2007,3.1420484,0.050479364,1.0162233,95.19856
Africa,,2008,3.2673957,0.07265389,1.3117782,96.96721
Africa,,2009,3.5627222,0.09582155,1.5892309,99.56114
Africa,,2010,3.764553,0.21605176,2.2845824,107.69848
Africa,,2011,3.8587685,0.6020893,2.386504,110.75051
Africa,,2012,4.0424066,0.99265915,2.5156302,111.22693
Africa,,2013,4.433249,0.7875202,3.5934472,117.65244
Africa,,2014,5.462047,1.9041501,5.060073,124.08204
Africa,,2015,7.1696815,3.2586064,8.9106865,120.4148
Africa,,2016,7.231852,5.3840914,11.176371,117.42635
Africa,,2017,7.6260357,7.7734146,12.457454,126.34168
Africa,,2018,8.17267,10.053543,14.769322,134.60007
Africa,,2019,8.262966,12.894289,19.331635,139.4176
Africa,,2020,8.066416,16.058805,21.302898,146.37308
Africa,,2021,8.026317,16.515236,24.41597,153.4187
Africa,,1965,,,0,13.905635
Africa,,1966,,,0,15.510005
Africa,,1967,,,0,16.190636
Africa,,1968,,,0,18.938341
Africa,,1969,,,0,22.100891
Africa,,1970,,,0,27.630428
Asia,,1965,0.1,0,0,142.90587
Asia,,1966,0.122,0,0,149.04556
Asia,,1967,0.173,0,0,139.2507
Asia,,1968,0.179,0,0,154.78128
Asia,,1969,0.178,0,0,160.68423
Asia,,1970,0.40870398,0,0,164.48134
Asia,,1971,0.39761102,0,0,179.92075
Asia,,1972,0.42359102,0,0,186.07146
Asia,,1973,0.450998,0,0,172.98293
Asia,,1974,0.514547,0,0,197.01353
Asia,,1975,0.598507,0,0,212.23686
Asia,,1976,0.528553,0,0,218.30035
Asia,,1977,0.752774,0,0,214.44467
Asia,,1978,0.967644,0,0,225.85852
Asia,,1979,1.881672,0,0,244.19711
Asia,,1980,3.27229,0,0,261.64688
Asia,,1981,5.158717,0,0,279.014
Asia,,1982,13.786909,0,0,276.3654
Asia,,1983,15.969758,0,0,289.0298
Asia,,1984,17.504143,0,0,289.70355
Asia,,1985,18.650616,0,0,343.2253
Asia,,1986,19.50979,0,0,345.83762
Asia,,1987,19.839085,0,0,358.31186
Asia,,1988,21.396158,0,0,411.7138
Asia,,1989,23.113253,0,0,421.20538
Asia,,1990,18.881407,0.004,0.033323232,444.1206
Asia,,1991,19.272646,0.004,0.12300091,449.01508
Asia,,1992,19.529099,0.015500001,0.22078313,452.27505
Asia,,1993,19.343426,0.028500002,0.3098508,502.67566
Asia,,1994,22.93912,0.036,0.578078,498.8318
